id,_URI,instanceID,_PARENT_AURI,fh_1345_rr_c,fh_1345_rr_nc,fh_1345_rr_n,fh_13_45,fh_13_46,fh_13_47,fh_13_47_1n,rta_form_id
1,uuid:00017383-149f-437d-b459-b3036c584f69,uuid:239cdd32-890d-494e-8cae-8637408a16bc,uuid:239cdd32-890d-494e-8cae-8637408a16bc,1,st,"",1,1,3.8000000000,2,ML_FH_Household_Full_G1
2,uuid:01b4eac8-159c-4903-ba1e-460ab310dc05,uuid:9822085c-e0a2-40ef-9ee4-95d942865f99,uuid:9822085c-e0a2-40ef-9ee4-95d942865f99,1,st,"",1,1,3.5000000000,2,ML_FH_Household_Full_G1
3,uuid:02e8cbe8-48e8-4977-8b47-b1af29a725f1,uuid:c6d6e5e4-1063-4cd0-a49a-5e823c5437cc,uuid:c6d6e5e4-1063-4cd0-a49a-5e823c5437cc,1,st,"",2,1,2.9000000000,2,ML_FH_Household_Full_G1
4,uuid:038e3996-5a0a-4e05-87de-bc341ad59cd0,uuid:cb93406d-9551-4e2d-ab14-d3178c674f42,uuid:cb93406d-9551-4e2d-ab14-d3178c674f42,1,st,"",1,1,3.2000000000,2,ML_FH_Household_Full_G1
5,uuid:03db6539-2c0a-45ac-bf7f-b81317c995af,uuid:f0580ffc-cdf2-4c0f-9084-208eedc48288,uuid:f0580ffc-cdf2-4c0f-9084-208eedc48288,1,st,"",1,1,3.0000000000,1,ML_FH_Household_Full_G1
6,uuid:06a8b837-0c93-44af-94ca-eae7be7a0c5a,uuid:10212347-aa93-4cc7-a1e6-a46a558d357a,uuid:10212347-aa93-4cc7-a1e6-a46a558d357a,1,st,"",2,1,9998.0000000000,1,ML_FH_Household_Full_G1
7,uuid:06cd727f-d344-4569-95cd-7ef4329da93c,uuid:d26aef2a-bcdc-4314-9818-64231eba94e9,uuid:d26aef2a-bcdc-4314-9818-64231eba94e9,1,st,"",2,1,2.8000000000,2,ML_FH_Household_Full_G1
8,uuid:093a271b-309b-4d99-b115-15fd1be5930c,uuid:355d4b95-9efc-4e42-b7bf-4c339ab2ca02,uuid:355d4b95-9efc-4e42-b7bf-4c339ab2ca02,1,st,"",1,1,3.1000000000,2,ML_FH_Household_Full_G1
9,uuid:0a007f2d-2ab5-4e4b-bca6-f1f0c8db0c78,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,2,nd,"",2,1,2.2000000000,2,ML_FH_Household_Full_G1
10,uuid:0a4e0c02-8a29-4251-b0be-7b4709030e8f,uuid:d71074b0-c6fb-462b-8719-74640088f8dd,uuid:d71074b0-c6fb-462b-8719-74640088f8dd,1,st,"",1,0,"","",ML_FH_Household_Full_G1
11,uuid:0b32571d-6600-4704-b8c5-c23eb09f5419,uuid:3383e9e6-dcf9-441a-bc31-88adedac3f7a,uuid:3383e9e6-dcf9-441a-bc31-88adedac3f7a,1,st,"",2,1,3.5000000000,2,ML_FH_Household_Full_G1
12,uuid:106405df-0514-4aff-9c36-3b3b2c6292f3,uuid:d0287847-54a9-484d-8dae-f0aced2f9a71,uuid:d0287847-54a9-484d-8dae-f0aced2f9a71,1,st,"",2,1,9998.0000000000,1,ML_FH_Household_Full_G1
13,uuid:10cee69a-420e-42f6-a58a-d78172f41499,uuid:7d00c243-d405-40cc-b4ee-cd7dd1275cc2,uuid:7d00c243-d405-40cc-b4ee-cd7dd1275cc2,1,st,"",1,1,3.5000000000,2,ML_FH_Household_Full_G1
14,uuid:19deb573-0998-4ff8-8a6b-e21c23a2c565,uuid:9c3c0ef4-1d64-4121-acfa-1a7983ed941c,uuid:9c3c0ef4-1d64-4121-acfa-1a7983ed941c,1,st,"",2,1,7.5000000000,2,ML_FH_Household_Full_G1
15,uuid:1a42c498-e016-4a5b-aadd-876989663363,uuid:98586b41-4d87-4302-a9c2-dc18f1750771,uuid:98586b41-4d87-4302-a9c2-dc18f1750771,1,st,"",2,0,"","",ML_FH_Household_Full_G1
16,uuid:1b3ed0ab-c1da-463b-bc12-ee3b1e8234f9,uuid:faa37225-7d8b-43fd-8d1f-5759b21b2e28,uuid:faa37225-7d8b-43fd-8d1f-5759b21b2e28,1,st,"",1,0,"","",ML_FH_Household_Full_G1
17,uuid:1d6cffcc-1af9-478f-8e5f-da3a88aa4b0a,uuid:22f5ebe7-9b5c-4d94-afba-493c09aad287,uuid:22f5ebe7-9b5c-4d94-afba-493c09aad287,1,st,"",1,1,3.0000000000,2,ML_FH_Household_Full_G1
18,uuid:1d7ec3f6-d6e6-4067-80ca-10e1f075c255,uuid:9e52de5b-a117-4042-b065-5c00b46a49bb,uuid:9e52de5b-a117-4042-b065-5c00b46a49bb,1,st,"",1,1,3.1500000000,2,ML_FH_Household_Full_G1
19,uuid:1f764f92-3992-446a-aeef-1ed938733f4a,uuid:4b59c629-1423-484f-809d-cf91ea427d29,uuid:4b59c629-1423-484f-809d-cf91ea427d29,1,st,"",1,1,2.6000000000,2,ML_FH_Household_Full_G1
20,uuid:21711f8c-638a-4703-aedd-308a430dbcd8,uuid:22f4ef8f-6f39-44a9-8422-3ae7fde6a473,uuid:22f4ef8f-6f39-44a9-8422-3ae7fde6a473,1,st,"",2,1,2.2500000000,2,ML_FH_Household_Full_G1
21,uuid:22fb62ef-9baa-40e0-b4bd-a5217c45cf42,uuid:4ca7f7e3-0428-4699-8d66-4fefa886af29,uuid:4ca7f7e3-0428-4699-8d66-4fefa886af29,1,st,"",1,0,"","",ML_FH_Household_Full_G1
22,uuid:23d85643-efc3-47c8-b277-88843f1a3bff,uuid:3b59e7bc-7dbd-4de3-a331-2824082db148,uuid:3b59e7bc-7dbd-4de3-a331-2824082db148,1,st,"",1,1,2.0000000000,2,ML_FH_Household_Full_G1
23,uuid:24492e66-d06d-450f-bb64-90016012947e,uuid:c55c1230-f912-4d8c-8c55-07ac06e70b01,uuid:c55c1230-f912-4d8c-8c55-07ac06e70b01,1,st,"",1,1,9998.0000000000,1,ML_FH_Household_Full_G1
24,uuid:276765af-e3ad-4154-ba08-8805cd9678b9,uuid:5d164aa6-bb98-45ea-8882-5cca6e566bc7,uuid:5d164aa6-bb98-45ea-8882-5cca6e566bc7,1,st,"",2,1,9998.0000000000,2,ML_FH_Household_Full_G1
25,uuid:29e7e7ab-01ae-42a0-9acd-97f435e2d1bb,uuid:12430c1c-704e-4ffb-ab4c-cb4af38c6f15,uuid:12430c1c-704e-4ffb-ab4c-cb4af38c6f15,1,st,"",2,1,3.0000000000,1,ML_FH_Household_Full_G1
26,uuid:2a52d85f-4764-4c97-94b6-9ce4c569dff5,uuid:1bcb2d5e-44fe-47c3-a1db-42497a131967,uuid:1bcb2d5e-44fe-47c3-a1db-42497a131967,1,st,"",1,1,3.0000000000,1,ML_FH_Household_Full_G1
27,uuid:2bf3b79f-e355-4d91-b9ee-e283a4387a5c,uuid:c018c194-623a-42ca-bccd-8769896cb6e8,uuid:c018c194-623a-42ca-bccd-8769896cb6e8,1,st,"",2,1,3.1200000000,2,ML_FH_Household_Full_G1
28,uuid:2d2f2e60-ca89-4f8c-8bcd-582a82bc603c,uuid:1d146c51-71c8-4985-8759-ab43dc4eff85,uuid:1d146c51-71c8-4985-8759-ab43dc4eff85,1,st,"",1,0,"","",ML_FH_Household_Full_G1
29,uuid:2d7ab705-1d19-43e9-95dd-a0835caef402,uuid:8a593fb8-fb50-45bf-84c4-3d3bae0d44f6~0,uuid:8a593fb8-fb50-45bf-84c4-3d3bae0d44f6~0,1,st,"",2,1,4.5000000000,2,ML_FH_Household_Full_G1
30,uuid:2e14f1c5-0edd-49d9-a9e5-36aaa65649f2,uuid:f44b0aa6-f883-42a5-ab47-ae2258d2f92d,uuid:f44b0aa6-f883-42a5-ab47-ae2258d2f92d,1,st,"",1,1,2.5000000000,2,ML_FH_Household_Full_G1
31,uuid:31ce33eb-ffc1-4bc2-ae64-4c6d5a99b233,uuid:172def4a-3e15-4f92-97cd-851777ba618b,uuid:172def4a-3e15-4f92-97cd-851777ba618b,1,st,"",2,1,3.4000000000,2,ML_FH_Household_Full_G1
32,uuid:369b9ada-4c41-4f51-a381-a9b905159e2d,uuid:64d3648c-1b9e-4cd6-9a1e-fb9a304154fd,uuid:64d3648c-1b9e-4cd6-9a1e-fb9a304154fd,1,st,"",2,1,2.6000000000,2,ML_FH_Household_Full_G1
33,uuid:3758ed4f-8266-42e7-9a97-9eb63897b75a,uuid:68ee74ed-3604-4bae-9e9a-330c14a62385,uuid:68ee74ed-3604-4bae-9e9a-330c14a62385,1,st,"",2,1,1.9000000000,2,ML_FH_Household_Full_G1
34,uuid:3831d82e-26f7-4f43-9e62-e5169062bc9c,uuid:50163c5c-8094-4f89-bfa4-01ed4cfa2baf,uuid:50163c5c-8094-4f89-bfa4-01ed4cfa2baf,1,st,"",2,1,3.0000000000,2,ML_FH_Household_Full_G1
35,uuid:38962511-12d4-4cfd-8509-e51e2450d3e3,uuid:642c304a-5a37-4cc4-9317-49568ef1078c,uuid:642c304a-5a37-4cc4-9317-49568ef1078c,1,st,"",1,1,9998.0000000000,1,ML_FH_Household_Full_G1
