id,_URI,instanceID,_PARENT_AURI,fh_1355_rr_c,fh_1355_rr_nc,fh_1355_rr_n,fh_13_55,fh_13_56,fh_13_56_1n,fh_13_56_2n,fh_13_56_3n_a,fh_13_56_3n_b,fh_13_57,fh_13_58,fh_13_59,fh_13_60,fh_13_61,fh_13_61_other,rta_form_id
1,uuid:01b5d3a2-3c1b-4557-bad2-81d5cd4e9749,uuid:2976da39-bbc3-450d-a889-40a417a6dc10,uuid:2976da39-bbc3-450d-a889-40a417a6dc10,1,st,"",1,0,0,1,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
2,uuid:07ab0e80-3232-4d11-b081-2891e67eee27,uuid:b91735d1-c979-443b-821e-dd95b85f2eab,uuid:b91735d1-c979-443b-821e-dd95b85f2eab,1,st,"",3,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
3,uuid:09f47fbc-dfbe-483e-97ef-5b4779c176ec,uuid:1cbf3e46-853a-4993-ae4b-7aa5423b5cfa,uuid:1cbf3e46-853a-4993-ae4b-7aa5423b5cfa,1,st,"",4,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
4,uuid:0caca372-b42d-4aea-83d9-db97a80dd795,uuid:432c7d32-d2f1-4c3b-a7e2-7d7fcb15577a,uuid:432c7d32-d2f1-4c3b-a7e2-7d7fcb15577a,1,st,"",2,0,0,0,0,0,1,4,1,0,"","",ML_FH_Household_Full_G1
5,uuid:0fb4606f-8092-4d9a-84ec-10c1694c51b8,uuid:66508978-3436-4ab0-9741-984eea13985a,uuid:66508978-3436-4ab0-9741-984eea13985a,1,st,"",1,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
6,uuid:1388087b-4c00-452d-86bc-8d3047d2bb3e,uuid:d1139819-85b6-4d45-bf41-3b8b91f4a7fe,uuid:d1139819-85b6-4d45-bf41-3b8b91f4a7fe,1,st,"",1,0,0,0,0,0,1,3,1,0,"","",ML_FH_Household_Full_G1
7,uuid:165786f4-51e9-4d0f-9ab9-de568bd1a278,uuid:442ea5ff-5826-42eb-b04c-ef413aaf425f,uuid:442ea5ff-5826-42eb-b04c-ef413aaf425f,1,st,"",3,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
8,uuid:181e6a94-956a-433c-a66f-c3eb003e9b03,uuid:9ecf6fb5-97a3-470e-bd44-eb332826fba5,uuid:9ecf6fb5-97a3-470e-bd44-eb332826fba5,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
9,uuid:1863889b-9156-44f2-86b7-daffce6864d0,uuid:f497203c-7264-4a40-bc53-de8d552f4199,uuid:f497203c-7264-4a40-bc53-de8d552f4199,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
10,uuid:1a4ed9f2-9bcc-40f4-bcfe-ad4467018a62,uuid:a0efc9cf-7214-4f61-8382-e877600e0284,uuid:a0efc9cf-7214-4f61-8382-e877600e0284,1,st,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
11,uuid:1fc03541-affe-41e4-9513-9bc8a8e45665,uuid:a452421e-af27-4cc7-a093-600b34fd0ad6~0,uuid:a452421e-af27-4cc7-a093-600b34fd0ad6~0,1,st,"",2,1,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
12,uuid:24867571-d044-49d6-8d4d-5f9128665a32,uuid:70afa845-a0d1-4f44-a221-2dc9255ea28b,uuid:70afa845-a0d1-4f44-a221-2dc9255ea28b,1,st,"",3,0,1,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
13,uuid:24cb162a-7a36-40a7-8b46-6c3b6ff6ecb6,uuid:4c26fa05-b9f3-48d7-95fe-6d3172bc9629,uuid:4c26fa05-b9f3-48d7-95fe-6d3172bc9629,1,st,"",3,1,0,0,1,1,1,24,0,0,"","",ML_FH_Household_Full_G1
14,uuid:28d5d22c-7bd8-42b8-9bff-1af633d53e33,uuid:7d00c243-d405-40cc-b4ee-cd7dd1275cc2,uuid:7d00c243-d405-40cc-b4ee-cd7dd1275cc2,1,st,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
15,uuid:28dd5bf8-f22b-4e26-bd05-ecc0e617a120,uuid:7f1f427c-5c3c-4eaa-9fc4-4615498c0e13,uuid:7f1f427c-5c3c-4eaa-9fc4-4615498c0e13,1,st,"",1,0,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
16,uuid:2f950f93-4bcf-4f94-bbde-23e95091a09e,uuid:22f5ebe7-9b5c-4d94-afba-493c09aad287,uuid:22f5ebe7-9b5c-4d94-afba-493c09aad287,1,st,"",3,1,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
17,uuid:3327e57d-98d1-4108-898e-d31d121ce4bf,uuid:c6d6e5e4-1063-4cd0-a49a-5e823c5437cc,uuid:c6d6e5e4-1063-4cd0-a49a-5e823c5437cc,1,st,"",5,0,0,0,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
18,uuid:33c45864-1d49-4f4d-b7c6-64b98e4a04b5,uuid:cdfa7d3a-dd8c-4585-bb10-fd41eac62671,uuid:cdfa7d3a-dd8c-4585-bb10-fd41eac62671,1,st,"",1,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
19,uuid:33c9ea8e-4b3a-4b9e-b959-bf74c1aafe47,uuid:76d2f563-0022-41c8-b442-5be30ba63a6c,uuid:76d2f563-0022-41c8-b442-5be30ba63a6c,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
20,uuid:34cb65de-417d-48dc-b529-10c43f9076ee,uuid:98586b41-4d87-4302-a9c2-dc18f1750771,uuid:98586b41-4d87-4302-a9c2-dc18f1750771,1,st,"",3,0,0,0,0,0,1,2,0,1,2,"",ML_FH_Household_Full_G1
21,uuid:384941bb-7c81-4570-99ae-0c49ce1d548a,uuid:4ab50ed3-a869-4519-8a89-5e070d1b300c,uuid:4ab50ed3-a869-4519-8a89-5e070d1b300c,1,st,"",4,0,0,0,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
22,uuid:395e6d78-9688-47c5-ad5c-1dd2e2f1337b,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,1,st,"",3,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
23,uuid:39f74229-11fc-41a7-9a3a-fb16aeab3b9f,uuid:d71074b0-c6fb-462b-8719-74640088f8dd,uuid:d71074b0-c6fb-462b-8719-74640088f8dd,1,st,"",1,0,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
24,uuid:3b3a20d5-ced4-48f0-b5a4-a5254aa291b5,uuid:0dd3255a-b957-47eb-bf41-f093730c9382,uuid:0dd3255a-b957-47eb-bf41-f093730c9382,1,st,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
25,uuid:3c6defca-4223-467b-9775-5c33e9d77b34,uuid:935c9e59-c4a3-49dd-9dfc-9eab3b0bd21c,uuid:935c9e59-c4a3-49dd-9dfc-9eab3b0bd21c,1,st,"",3,1,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
26,uuid:3d933fb7-df0a-403d-9223-0ed59dd34fd3,uuid:c6406b3c-f0c0-46b2-a5d4-bbfb0ac70ceb~0,uuid:c6406b3c-f0c0-46b2-a5d4-bbfb0ac70ceb~0,1,st,"",4,0,0,0,0,1,1,2,0,0,"","",ML_FH_Household_Full_G1
27,uuid:3f74874d-959c-4b40-ad05-6d14b7f0be9e,uuid:90e525fc-298a-4772-945e-cdd63d3af771,uuid:90e525fc-298a-4772-945e-cdd63d3af771,1,st,"",4,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
28,uuid:3fa58503-1978-4e44-a101-27d2f80150cb,uuid:463a077c-4fe3-4bf1-9c44-e10c7ea143af,uuid:463a077c-4fe3-4bf1-9c44-e10c7ea143af,1,st,"",2,0,0,0,0,0,1,48,1,0,"","",ML_FH_Household_Full_G1
29,uuid:4155d567-3b30-485b-839a-dd83d10d5250,uuid:22f4ef8f-6f39-44a9-8422-3ae7fde6a473,uuid:22f4ef8f-6f39-44a9-8422-3ae7fde6a473,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
30,uuid:4613f8da-865a-4ea8-85e9-d43a12b764bc,uuid:fdca57bc-48c6-4096-bed8-7e6a98947897,uuid:fdca57bc-48c6-4096-bed8-7e6a98947897,1,st,"",3,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
31,uuid:461f544f-853d-4738-9272-914b1e0475f1,uuid:c6406b3c-f0c0-46b2-a5d4-bbfb0ac70ceb,uuid:c6406b3c-f0c0-46b2-a5d4-bbfb0ac70ceb,1,st,"",4,0,0,0,0,1,1,2,0,0,"","",ML_FH_Household_Full_G1
32,uuid:46e806cf-b61d-4fd5-9b10-564213ac5643,uuid:bcd04763-c4f8-43bd-8420-9f0c1fc4dfeb,uuid:bcd04763-c4f8-43bd-8420-9f0c1fc4dfeb,1,st,"",3,0,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
33,uuid:4800300d-0fa5-4e73-b6ff-0e781b43ad23,uuid:c341cd25-67cb-468e-b10e-4f6017a60679,uuid:c341cd25-67cb-468e-b10e-4f6017a60679,1,st,"",3,1,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
34,uuid:490e6a76-a607-401d-b766-7a5e801fe411,uuid:8a593fb8-fb50-45bf-84c4-3d3bae0d44f6~0,uuid:8a593fb8-fb50-45bf-84c4-3d3bae0d44f6~0,1,st,"",3,0,0,0,0,0,1,15,0,1,2,"",ML_FH_Household_Full_G1
35,uuid:497fd456-128c-40f0-b5d1-cf4ffe0c0402,uuid:5b5c8bf5-c511-4f35-9709-88ef9c0a6127,uuid:5b5c8bf5-c511-4f35-9709-88ef9c0a6127,1,st,"",3,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
36,uuid:4d8aa4a8-4f4e-4fc3-abc3-5862134491ec,uuid:cb93406d-9551-4e2d-ab14-d3178c674f42,uuid:cb93406d-9551-4e2d-ab14-d3178c674f42,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
37,uuid:514f9f82-ec67-4e2f-9fad-001e118f88f3,uuid:da907c29-2206-4fcf-9bab-d3f6fcb15973,uuid:da907c29-2206-4fcf-9bab-d3f6fcb15973,1,st,"",2,0,0,0,0,1,1,0,0,1,8,"",ML_FH_Household_Full_G1
38,uuid:532f01c7-403e-429c-9c73-ca90a72addaf,uuid:c1f1d4d3-bb40-4387-9297-1e1485724926,uuid:c1f1d4d3-bb40-4387-9297-1e1485724926,1,st,"",5,0,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
39,uuid:5360b2e5-c4b3-4164-84d7-ca94bc7f437a,uuid:b68e8344-1926-477e-ad38-51143074dad7,uuid:b68e8344-1926-477e-ad38-51143074dad7,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
40,uuid:53ac1778-d81f-4223-8bd7-a3278d0d3316,uuid:2030e17e-b5b0-449f-9007-30242d7842e3,uuid:2030e17e-b5b0-449f-9007-30242d7842e3,1,st,"",2,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
41,uuid:53fe7552-fb21-4b70-bb64-face43b3a643,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1,1,st,"",4,0,0,1,0,1,1,30,1,0,"","",ML_FH_Household_Full_G1
42,uuid:543c9bba-2492-4fd1-b8aa-1e0cfb60493c,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1~0,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1~0,1,st,"",4,0,0,1,0,1,1,30,1,0,"","",ML_FH_Household_Full_G1
43,uuid:54812ecc-a65d-4a0d-8899-ef59e8816456,uuid:f359c1ee-75f6-4310-9a59-9935217853f9,uuid:f359c1ee-75f6-4310-9a59-9935217853f9,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
44,uuid:54cc6d5f-8f49-49b2-807e-30933d13826c,uuid:10636fc0-cc32-43b0-943c-d7896d58c307,uuid:10636fc0-cc32-43b0-943c-d7896d58c307,1,st,"",4,0,0,0,0,0,1,3,0,0,"","",ML_FH_Household_Full_G1
45,uuid:5681c1c5-1a00-4d51-a62f-ef052c0ddc00,uuid:9822085c-e0a2-40ef-9ee4-95d942865f99,uuid:9822085c-e0a2-40ef-9ee4-95d942865f99,1,st,"",2,0,0,0,0,0,1,5,1,0,"","",ML_FH_Household_Full_G1
