"key","objname","site","family_id","status"
"1","gambia_f1","S140","GAMBIA_EL_F1_TEST","0"
"2","gambia_f2","S140","GAMBIA_EL_F2_TEST","0"
"3","gambia_f3","S140","GAMBIA_EL_F3_TEST","0"
"4","gambia_f4","S140","GAMBIA_EL_F4_TEST","0"
"5","gambia_hh","S140","GAMBIA_EL_HH_TEST","0"
"6","gambia_vdc","S140","GAMBIA_EL_VDC_TEST","0"
"7","gambia_vsg","S140","GAMBIA_EL_VSG_TEST","0"
"8","gambia_f1","S140","GAMBIA_EL_F1_TRAINING","2"
"9","gambia_f2","S140","GAMBIA_EL_F2_TRAINING","2"
"10","gambia_f3","S140","GAMBIA_EL_F3_TRAINING","2"
"11","gambia_f4","S140","GAMBIA_EL_F4_TRAINING","2"
"12","gambia_hh","S140","GAMBIA_EL_HH_TRAINING","2"
"13","gambia_vdc","S140","GAMBIA_EL_VDC_TRAINING","2"
"14","gambia_vsg","S140","GAMBIA_EL_VSG_TRAINING","2"
"15","gambia_hh_ab","S140","GAMBIA_EL_HH_ABRIDGED_TRAINING","2"
