id,X_URI,instanceID,X_PARENT_AURI,vdc_08_pos,vdc_08_options,vdc_08_status,vdc_08_id,vdc_08_name,vdc_08_00,vdc_08_00_1,vdc_08_02_n,vdc_08_02_m,vdc_08_02_y,vdc_08_03,vdc_08_03_m,vdc_08_03_y,vdc_08_04_a_11,vdc_08_04_a,vdc_08_04_b,vdc_08_04_c,vdc_08_04_d,vdc_08_04_e,vdc_08_04_n1,vdc_08_04_n2,vdc_08_04_other,vdc_08_05,vdc_08_05_other,vdc_08_06,vdc_08_07_n,vdc_08_07,vdc_08_08,vdc_08_09,vdc_08_10,vdc_08_11,vdc_08_12,vdc_08_13,vdc_08_14,vdc_08_15,vdc_08_16,vdc_08_17,rta_form_id
1,uuid:dc17c0b4-78af-4247-895a-1e6118608f97,uuid:86def6fd-8796-4393-ad55-cd99b17c63d6,uuid:86def6fd-8796-4393-ad55-cd99b17c63d6,1,51 1,1,51,<b>HYGIENE:</b> Handwashing behavior,,hg,,5,2015,,12,2016,,1,0,1,1,0,2 4 5,2,,4,,55.0000000000,,1,1,0,1,0,1,1,1,0,V,5,
2,uuid:3af3bb3b-ec88-4dda-890a-8f220f933bce,uuid:86def6fd-8796-4393-ad55-cd99b17c63d6,uuid:86def6fd-8796-4393-ad55-cd99b17c63d6,2,96 1,1,96,Ynik,,fhv,,2,2015,,5,2016,,1,1,0,0,0,3 4,3,,96,,55.0000000000,,1,1,0,0,1,0,0,0,0,Gyhu,2,
17,uuid:c004627d-ffb0-410d-be9a-6a1febae8359,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,1,22 1,1,22,<b>REPRODUCTIVE HEALTH CARE:</b> Delivery Care,,1,,2,2005,,2,2005,,1,0,0,1,0,4,96,Other,96,,25.0000000000,,1,0,1,0,1,1,0,0,0,O1,3,
18,uuid:81a93bda-08be-45d7-a32d-bdd6564498de,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,2,16 1,1,16,<b>NUTRITION:</b> Small ruminants,,2,,-99,-99,,5,9888,,1,1,1,0,0,4,96,Other,5,,2.0000000000,,1,0,1,0,1,1,0,0,1,,3,
19,uuid:a83f58cc-53ae-4c9f-8e93-2dee198276e5,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,3,96 1,1,96,Other,,3,,3,2009,,12,2009,,1,0,1,0,0,3,96,Other,3,,12.0000000000,,1,1,0,1,0,1,0,0,0,O3,3,
20,uuid:17d5f3ad-1361-493c-a01f-f46f0072d171,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,4,53 1,1,53,<b>HYGIENE:</b> Fecal Disposal,,O4,,1,2009,,3,2009,,1,1,0,0,1,5,96,Other,5,,59.0000000000,,1,0,1,1,0,1,1,0,0,O4,4,
21,uuid:9d9fdcd7-e86f-4878-85f0-cefbf75e6d25,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,5,51 1,1,51,<b>HYGIENE:</b> Handwashing behavior,,4,,5,2009,,6,2018,,1,1,0,1,0,4,96,Other,5,,57.0000000000,,1,0,1,0,1,0,0,0,0,04,3,
22,uuid:3610a97d-3572-4256-899a-5cea323050d6,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,6,40 1,1,40,OTHER HEALTH AND NUTRTION,,O5,,6,2001,,5,2003,,1,1,0,0,1,3,96,Other,4,,26.0000000000,,0,1,0,1,1,1,0,0,1,,4,
23,uuid:29e7199f-b223-4efd-a54f-b01b8d268cdd,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,7,30 1,1,30,MALARIA/INSECTICIDE TREATED NETS,,6,,12,2000,,6,2007,,1,0,1,1,0,3,96,Other,5,,12.0000000000,,1,0,1,0,1,0,1,1,0,O6,1,
24,uuid:64572d22-7419-4185-b660-3db35fb94a0a,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,uuid:a147b9a6-da09-4b3e-9698-b0a6a2d71de7,8,11 1,1,11,<b>NUTRITION:</b> Maternal Nutrition,,O7,,5,2009,,8,2010,,1,0,1,1,0,1 4,96,Other,1,,47.0000000000,,1,1,0,0,1,0,1,0,1,,1,
